ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,753,4500,4,7.996659,31.377293,231.8037626546014,2.25184752e-07
11.0,903,4500,4,103.396077,34.509366,231.8037626546014,1.87861657e-07
11.0,1053,4500,4,226.370453,37.423201,231.8037626546014,1.6115168e-07
11.0,1203,4500,4,361.038768,40.156354,231.8037626546014,1.41091444e-07
11.0,1352,4500,4,438.088841,42.744274,231.8037626546014,1.25472561e-07
11.0,1502,4500,4,339.825977,45.211133,231.8037626546014,1.1296706e-07
11.0,1652,4500,4,247.970092,47.574886,231.8037626546014,1.02728405e-07
11.0,1802,4500,4,144.335378,49.844984,231.8037626546014,9.4191458e-08
11.0,1951,4500,4,86.540993,52.045355,231.8037626546014,8.6964523e-08
11.0,2101,4500,4,59.921746,54.172056,231.8037626546014,8.076755e-08
11.0,2251,4500,4,43.842437,56.237026,231.8037626546014,7.5395006e-08
11.0,2401,4500,4,37.904008,58.246453,231.8037626546014,7.0692631e-08
11.0,2550,4500,4,37.859317,60.205577,231.8037626546014,6.6542392e-08
11.0,2700,4500,4,28.867081,62.118885,231.8037626546014,6.2852437e-08
11.0,2850,4500,4,23.618679,63.984939,231.8037626546014,5.9550217e-08
11.0,3000,4500,4,19.44383,65.816925,231.8037626546014,5.6577669e-08
11.0,5,1250,4,2.098898,2.447685,104.95495254029636,3.3946601e-05
11.0,154,1250,4,2.11262,13.852126,104.95495254029636,1.096821e-06
11.0,304,1250,4,2.12612,19.59787,104.95495254029636,5.57415458e-07
11.0,454,1250,4,2.074835,24.094931,104.95495254029636,3.73655492e-07
11.0,604,1250,4,6.593282,27.9457,104.95495254029636,2.81014912e-07
11.0,753,1250,4,113.037507,31.377293,104.95495254029636,2.25184752e-07
11.0,903,1250,4,235.821238,34.509366,104.95495254029636,1.87861657e-07
11.0,1053,1250,4,240.461195,37.423201,104.95495254029636,1.6115168e-07
11.0,1203,1250,4,226.619359,40.156354,104.95495254029636,1.41091444e-07
11.0,1352,1250,4,169.938439,42.744274,104.95495254029636,1.25472561e-07
11.0,1502,1250,4,113.974737,45.211133,104.95495254029636,1.1296706e-07
11.0,1652,1250,4,66.220455,47.574886,104.95495254029636,1.02728405e-07
11.0,1802,1250,4,41.993196,49.844984,104.95495254029636,9.4191458e-08
11.0,1951,1250,4,30.380145,52.045355,104.95495254029636,8.6964523e-08
11.0,2101,1250,4,19.35243,54.172056,104.95495254029636,8.076755e-08
11.0,2251,1250,4,14.028861,56.237026,104.95495254029636,7.5395006e-08
11.0,2401,1250,4,10.799662,58.246453,104.95495254029636,7.0692631e-08
11.0,2550,1250,4,9.132874,60.205577,104.95495254029636,6.6542392e-08
11.0,2700,1250,4,5.290616,62.118885,104.95495254029636,6.2852437e-08
